Email,Employment ID,First Name,Last Name,Employment Details Hire Date,Work Region,Designation,Pay Grade,Competency,Onsite/ Offshore,Allocation Status,Skills
bking@example.net,77052,William,Hall,2024-10-18,UK/EUROPE - UK,Sr. Consultant II,04-Grade 4,AD,Offshore,On Project - Fulltime,"Core HR,Talent"
ksmith@example.com,28175,Amanda,Castro,2020-09-24,NA,Associate Consultant,05-Grade 5,SCM,Onsite,On Project - Partial,"Core HR,ORC,Absence"
derek12@example.com,43763,Adam,Barker,2024-03-20,CORPORATE,Manager I - Delivery,05-Grade 5,ERP Finance,Onsite,Bench,SQL
nicholaswalker@example.com,40777,Michelle,Vasquez,2020-12-17,UK/EUROPE - UK,Associate Consultant,05-Grade 5,AD,Onsite,Bench,"AP,AR"
courtney34@example.com,43817,Bryan,Mccoy,2023-04-17,UK/EUROPE - UK,Consultant II,07-Grade 7,PRGM,Onsite,On Project - Fulltime,"Core HR,Talent"
anthonymoore@example.org,66662,Michael,Bauer,2019-12-30,CORPORATE,Consultant I,05-Grade 5,SCM,Offshore,Bench,"Core HR,Talent"
amanda64@example.com,76300,Michelle,Allen,2024-03-23,UK/EUROPE - UK,Manager II - Projects,10-Grade 9,HCM,Offshore,On Project - Partial,"AP,AR"
martinezlindsey@example.org,26537,Michelle,Gibson,2020-11-26,AMEA - KSA,Associate Consultant,T2-Programmer Trainee,HCM,Onsite,On Project - Partial,"Core HR,Talent"
david41@example.net,81734,Melinda,Fuller,2024-01-29,AMEA - KSA,Manager I - Delivery,04-Grade 4,AD,Offshore,On Project - Partial,"ORC,Talent"
jacqueline72@example.org,74130,Jamie,Lopez,2019-12-31,AMEA - KSA,Manager II - Projects,05-Grade 5,ERP Finance,Offshore,Freshers Training,"ORC,Talent"
cindycharles@example.org,64524,Donna,Forbes,2020-07-25,CORPORATE,Manager II - Projects,10-Grade 9,HCM,Onsite,Freshers Training,"Core HR,Talent"
hblanchard@example.org,66850,Emily,Reyes,2020-04-26,AMEA - KSA,Associate Consultant,09-Grade 9,PRGM,Offshore,Freshers Training,PM
alyssahanson@example.net,49856,Cory,Hubbard,2024-04-17,AMEA - KSA,Consultant II,09-Grade 9,SCM,Offshore,On Project - Partial,PM
mark80@example.net,62382,Anna,Russo,2023-06-15,CORPORATE,Manager I - Delivery,T2-Programmer Trainee,AD,Onsite,Bench,"AP,AR"
matthew35@example.net,12854,Lisa,Stewart,2023-05-30,CORPORATE,Manager II - Projects,09-Grade 9,AD,Onsite,On Project - Fulltime,"ORC,Talent"
kayla40@example.org,81950,Jacqueline,Calderon,2021-05-21,CORPORATE,Consultant II,07-Grade 7,ERP Finance,Onsite,Bench,"Core HR,Talent"
aaron53@example.org,26732,Sherri,Rhodes,2020-04-17,CORPORATE,Associate Consultant,07-Grade 7,AD,Offshore,Bench,"Core HR,Talent"
meganhenry@example.com,65895,Dawn,Spencer,2023-02-01,UK/EUROPE - UK,Consultant I,T2-Programmer Trainee,HCM,Offshore,Freshers Training,"Core HR,Talent"
vasquezapril@example.org,20397,Samantha,Warren,2021-06-10,AMEA - KSA,Consultant II,05-Grade 5,HCM,Offshore,On Project - Fulltime,"AP,AR"
catherinechandler@example.com,25483,Edward,Turner,2021-08-15,CORPORATE,Associate Consultant,10-Grade 9,ERP Finance,Onsite,Freshers Training,PM
vwilson@example.org,48512,Randy,Thompson,2023-01-09,AMEA - KSA,Consultant I,07-Grade 7,AD,Onsite,On Project - Fulltime,PM
steveanderson@example.org,39340,Valerie,Adams,2021-06-20,UK/EUROPE - UK,Manager I - Delivery,05-Grade 5,ERP Finance,Offshore,On Project - Fulltime,"AP,AR"
uwilson@example.com,42291,Scott,Thomas,2024-12-12,NA,Manager II - Projects,07-Grade 7,AD,Onsite,Freshers Training,"ORC,Talent"
patricia90@example.com,36640,Joseph,Estrada,2021-01-16,NA,Consultant II,04-Grade 4,PRGM,Onsite,On Project - Fulltime,SQL
ddoyle@example.net,38257,Victor,Robinson,2020-07-02,UK/EUROPE - UK,Consultant II,05-Grade 5,HCM,Offshore,Freshers Training,"AP,AR"
kthomas@example.com,17626,Jacob,Little,2020-03-29,NA,Manager II - Projects,T2-Programmer Trainee,HCM,Offshore,On Project - Fulltime,SQL
sloanmichele@example.com,69301,Mariah,Burns,2022-09-08,AMEA - KSA,Manager I - Delivery,07-Grade 7,AD,Onsite,On Project - Partial,"AP,AR"
larryoneill@example.com,75361,Cynthia,Mcintyre,2024-11-22,UK/EUROPE - UK,Manager II - Projects,10-Grade 9,PRGM,Offshore,Bench,"Core HR,ORC,Absence"
christopher21@example.com,86856,Jeremiah,Hodge,2023-08-10,NA,Consultant II,04-Grade 4,SCM,Offshore,Freshers Training,PM
rrasmussen@example.com,10890,Luke,Burke,2024-07-28,UK/EUROPE - UK,Sr. Consultant II,04-Grade 4,AD,Offshore,On Project - Fulltime,"Core HR,ORC,Absence"
gmorris@example.org,97351,Maurice,Coffey,2020-06-14,AMEA - KSA,Manager II - Projects,10-Grade 9,ERP Finance,Offshore,Freshers Training,"Core HR,Talent"
cooperwilliam@example.net,66921,Dana,Palmer,2021-01-13,AMEA - KSA,Consultant II,07-Grade 7,PRGM,Offshore,On Project - Partial,SQL
fhoward@example.com,38047,Kathleen,Davis,2020-08-03,UK/EUROPE - UK,Consultant I,10-Grade 9,ERP Finance,Onsite,Bench,"Core HR,Talent"
iowen@example.com,11250,Laurie,Waller,2020-04-15,UK/EUROPE - UK,Consultant I,07-Grade 7,AD,Offshore,On Project - Partial,"ORC,Talent"
