Demand ID,Role Status,Region,Project Name,Project Type,Demand Received Date,Track,Location Shore,Primary Skill (Must have),Grade,Role Start Date,Role End Date,Number of FTE,Email,First Name,Last Name,Employment Details Hire Date,Work Region,Designation,Pay Grade,Competency,Onsite/ Offshore,Allocation Status,Skills,Employment ID
8475,Open,AMEA,"Mullins, Green and Davis",CEMS,2024-11-07,FIN,Offshore,Core HR & Payroll,G8,2025-08-17,2026-11-27,0.7,yavila@example.net,Timothy,Carter,2022-12-19,UK/EUROPE - UK,Associate Consultant,04-Grade 4,PRGM,Offshore,On Project - Fulltime,SQL,86080
9212,Staffed,EUK,Brandt-Oliver,Impl,2024-11-29,FIN,Offshore,Core HR & Payroll,G10,2025-07-12,2026-07-16,0.8,patricia90@example.com,Joseph,Estrada,2021-01-16,NA,Consultant II,04-Grade 4,PRGM,Onsite,On Project - Fulltime,SQL,36640
7718,Staffed,EUK,"Griffin, Brown and Simpson",Impl,2024-06-30,HCM,Offshore,Redwood HCM - Core HR and ORC,T2,2025-11-04,2025-12-25,0.8,aaron53@example.org,Sherri,Rhodes,2020-04-17,CORPORATE,Associate Consultant,07-Grade 7,AD,Offshore,Bench,"Core HR,Talent",26732
5976,Open,EUK,Smith-Washington,CEMS,2024-05-23,FIN,Onsite,Redwood HCM - Core HR and ORC,G6,2025-01-08,2026-05-27,0.8,amanda64@example.com,Michelle,Allen,2024-03-23,UK/EUROPE - UK,Manager II - Projects,10-Grade 9,HCM,Offshore,On Project - Partial,"AP,AR",76300
1985,Open,EUK,Bentley-Clark,CEMS,2024-11-06,HCM,Onsite,Onboarding Journeys,T2,2025-11-10,2026-02-25,0.7,larryoneill@example.com,Cynthia,Mcintyre,2024-11-22,UK/EUROPE - UK,Manager II - Projects,10-Grade 9,PRGM,Offshore,Bench,"Core HR,ORC,Absence",75361
4007,Staffed,AMEA,Soto Ltd,CEMS,2024-08-30,HCM,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G6,2025-12-07,2026-11-09,0.8,kthomas@example.com,Jacob,Little,2020-03-29,NA,Manager II - Projects,T2-Programmer Trainee,HCM,Offshore,On Project - Fulltime,SQL,17626
7113,Open,EUK,"Blake, Mayer and Goodwin",Impl,2024-05-17,FIN,Onsite,Core HR & Payroll,G8,2025-03-28,2026-10-19,0.6,ashleyjensen@example.net,Eric,Garcia,2021-04-01,NA,Sr. Consultant II,04-Grade 4,SCM,Onsite,On Project - Partial,PM,96871
5061,Staffed,NA,Giles-Lewis,CEMS,2024-10-31,FIN,Onsite,Onboarding Journeys,G5,2025-08-26,2026-07-20,0.7,laura60@example.com,Kevin,Payne,2022-02-02,UK/EUROPE - UK,Sr. Consultant II,07-Grade 7,HCM,Offshore,On Project - Partial,"AP,AR",81403
5764,Staffed,AMEA,Hurley-Garcia,CEMS,2024-02-07,HCM,Offshore,Onboarding Journeys,T2,2025-07-30,2026-12-06,0.5,ucollins@example.net,Kimberly,Anderson,2023-03-12,UK/EUROPE - UK,Sr. Consultant II,09-Grade 9,PRGM,Onsite,On Project - Partial,"Core HR,ORC,Absence",13248
9182,Open,EUK,Edwards-Davila,Impl,2024-07-27,FIN,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,2025-01-25,2026-02-18,0.5,kayla40@example.org,Jacqueline,Calderon,2021-05-21,CORPORATE,Consultant II,07-Grade 7,ERP Finance,Onsite,Bench,"Core HR,Talent",81950
